recipe_id,name,name_ar,category,cuisine,difficulty,dietary_goal,meal_occasion,prep_time_min,cook_time_min,minutes,n_steps,n_ingredients,servings,calories,protein_g,carbohydrates_g,fat_g,saturated_fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,vitamin_c_mg,calcium_mg,iron_mg,is_vegan,is_vegetarian,allergens,health_score,protein_density,glycemic_index_level,calorie_category,macro_balance_label,bmi_suitability,budget_level,avg_rating,review_count
100024,Lean Beef Rice Bowl,بول أرز باللحمة,Main Course,Asian Fusion,Easy,Muscle Gain / Bulking,Dinner,11.0,,28,10,10,2,526,35.8,55.2,11.4,3.7,3.7,5.5,725.0,76.0,11.6,44.0,3.6,0,0,Nuts|Soy,48.7,6.81,High,Moderate,Mixed,Underweight,Medium,,6.0
100025,Turkey Meatballs,كرات ديك رومي,Main Course,Italian,Easy,High Protein,Dinner,19.0,21.0,40,10,8,2,361,29.2,17.7,14.1,5.9,1.9,2.6,469.0,108.0,,58.0,2.8,0,0,Eggs|Gluten,45.7,8.09,Medium,Low,High Protein,Normal,Low,4.67,3.0
100026,Whole Wheat Pasta Turkey,مكرونة قمح بالديك الرومي,Main Course,Italian,Easy,Balanced,Dinner,12.0,31.0,43,12,9,2,478,36.3,55.8,9.8,2.8,6.9,7.8,683.0,79.0,16.7,78.0,4.4,0,0,Gluten,57.3,7.59,High,Moderate,Mixed,Normal,Medium,3.5,4.0
100027,Stuffed Bell Peppers,فلفل محشي,Main Course,Mediterranean,Medium,Balanced,Dinner,17.0,26.0,43,8,9,2,366,22.6,40.5,12.6,5.5,5.7,8.8,572.0,68.0,89.0,63.0,3.2,0,0,Dairy,53.3,6.17,Medium,Low,Mixed,Normal,Medium,4.33,
100028,Chicken Shawarma Bowl,بول شاورما الدجاج,Main Course,Middle Eastern,Easy,High Protein,Dinner,17.0,14.0,31,6,9,4,496,38.9,39.8,13.9,5.4,4.2,4.7,574.0,103.0,12.6,51.0,2.8,0,0,None,49.3,7.84,High,Moderate,High Protein,Normal,Medium,3.33,6.0
100029,Salmon Teriyaki,سالمون تيرياكي,Main Course,Japanese,Easy,Omega 3 / Healthy,Dinner,12.0,16.0,28,6,100,6,378,37.5,22.0,16.6,7.0,1.1,10.1,627.0,88.0,4.7,40.0,,0,0,Nuts|Soy|Seafood,36.9,9.92,Medium,Low,High Protein,Normal,Medium,3.6,
100030,Chicken Tikka Masala,دجاج تيكا ماسالا,Main Course,Indian,Medium,Balanced,Dinner,26.0,26.0,52,14,11,6,370,34.9,28.8,19.2,5.9,3.2,5.8,621.0,92.0,,74.0,4.0,0,0,Dairy,47.3,9.43,Medium,Low,High Protein,Normal,Medium,4.0,1.0
100031,Zucchini Noodles with Pesto,نودلز الكوسا بالبيستو,Main Course,Italian,Easy,Low Carb / Keto,Lunch,8.0,6.0,14,6,9,2,258,9.9,14.3,21.5,7.8,3.2,5.7,344.0,15.0,17.5,111.0,1.9,1,1,Nuts,44.1,3.84,Low,Low,Mixed,Overweight,Medium,,3.0
101928,Energy Balls,كرات الطاقة,Snack,International,Easy,Healthy Snack,Snack,13.0,0.0,13,4,7,2,127,4.1,16.0,5.3,1.6,1.7,7.1,42.0,0.0,0.9,30.0,0.9,0,1,Dairy|Gluten|Nuts,49.5,3.23,Low,Very Low,High Carb,Normal,Low,5.0,1.0
100033,Chocolate Protein Balls,كرات بروتين بالشوكولاتة,Snack,International,Easy,Post Workout,Snack,16.0,0.0,16,3,7,1,90,5.2,13.1,4.2,1.2,1.3,6.6,37.0,0.0,2.8,19.0,0.8,0,1,Dairy|Gluten|Nuts,50.9,5.78,Low,Very Low,Mixed,Normal,Low,4.5,4.0
100034,Apple Peanut Butter,تفاح مع زبدة فول سوداني,Snack,International,Very Easy,Balanced Snack,Snack,2.0,0.0,2,2,3,1,251,6.1,29.1,9.3,2.5,4.6,17.9,133.0,0.0,,22.0,0.5,0,1,Dairy|Nuts,47.6,2.43,Medium,Low,High Carb,Normal,Low,3.4,5.0
100035,Trail Mix,مكسرات وفواكه مجففة,Snack,International,Very Easy,Energy Boost,Snack,3.0,0.0,3,3,6,1,340,10.6,41.4,22.0,8.2,4.5,20.5,6000.0,,2.4,56.0,2.6,1,1,Nuts,39.6,3.12,High,Low,Mixed,Normal,Low,2.33,3.0
100036,Strawberry Protein Smoothie,سموذي الفراولة والبروتين,Beverage,International,Very Easy,Muscle Gain / Post Workout,Anytime,2.0,0.0,2,3,6,2,329,24.5,35.8,4.1,1.2,3.5,19.1,113.0,9.0,77.6,222.0,1.0,0,1,Dairy,56.0,7.45,Medium,Low,Mixed,Normal,Low,4.0,8.0
100037,Green Detox Smoothie,سموذي أخضر,Beverage,International,Very Easy,Detox / Weight Loss,Anytime,6.0,0.0,6,2,7,2,196,5.1,39.2,3.3,1.1,5.8,20.4,3500.0,0.0,135.6,90.0,2.5,0,1,None,57.4,2.6,Medium,Very Low,High Carb,Overweight,Low,4.2,15.0
100038,Banana Peanut Butter Smoothie,سموذي الموز وزبدة الفول,Beverage,International,Very Easy,Pre Workout / Energy,Anytime,3.0,0.0,3,1,7,6,403,15.2,52.0,12.0,4.2,4.2,22.8,176.0,11.0,12.4,216.0,1.4,0,1,Dairy|Gluten|Nuts,46.3,3.77,High,Moderate,High Carb,Normal,Low,3.33,3.0
100039,Mango Turmeric Smoothie,سموذي المانجو والكركم,Beverage,International,Very Easy,Anti-Inflammatory,Anytime,4.0,0.0,4,4,7,4,270,7.5,44.8,4.1,1.4,4.0,26.8,115.0,5.0,70.7,219.0,0.8,0,1,Dairy|Nuts,53.7,2.78,High,Low,High Carb,Normal,Low,3.67,3.0
100040,Berry Antioxidant Smoothie,سموذي التوت المضاد للأكسدة,Beverage,International,Very Easy,Immunity Boost,Anytime,3.0,0.0,3,4,6,6,204,7.4,44.3,3.2,1.1,6.8,22.4,100.0,5.0,35.3,152.0,1.1,0,1,Dairy|Nuts,58.4,3.63,High,Low,High Carb,Normal,Low,4.33,6.0
100041,Banana Nice Cream,آيس كريم الموز,Dessert,International,Very Easy,Healthy Dessert / Vegan,Dessert,4.0,0.0,4,1,2,6,106,2.2,28.6,0.5,0.2,2.6,16.3,2.0,0.0,13.0,6.0,0.3,1,1,None,49.3,2.08,Medium,Very Low,High Carb,Normal,Low,4.75,4.0
100042,Chia Pudding,بودنج الشيا,Dessert/Snack,International,Very Easy,High Fiber / Omega 3,Snack,9.0,0.0,9,4,5,2,258,10.1,33.2,13.0,4.5,14.0,18.4,155.0,5.0,3.7,257.0,2.9,0,1,Dairy|Nuts,53.8,3.91,Medium,Low,Mixed,Normal,Low,3.86,7.0
100043,Baked Cinnamon Apples,تفاح مخبوز بالقرفة,Dessert,International,Very Easy,Healthy Dessert,Dessert,6.0,21.0,27,7,6,2,177,1.0,40.6,2.1,0.8,4.8,37.5,9.0,0.0,8.7,,0.5,0,1,Dairy|Gluten,49.9,0.56,High,Very Low,High Carb,Normal,Low,3.5,4.0
100044,Falafel Wrap,سندويتش فلافل,Main Course,Middle Eastern,Medium,Vegan / Protein,Dinner,20.0,15.0,35,10,11,4,479,16.3,62.0,16.3,4.3,13.8,4.6,668.0,0.0,13.6,124.0,5.8,1,1,Gluten,56.8,3.4,High,Moderate,High Carb,Normal,Medium,4.0,2.0
100045,Tabbouleh Salad,سلطة التبولة,Salad,Middle Eastern,Easy,Light / Vegan,Lunch,11.0,0.0,11,3,9,1,199,5.4,27.3,6.7,2.1,6.5,4.4,422.0,,43.3,53.0,,1,1,Gluten,61.0,2.71,Medium,Very Low,High Carb,Normal,Medium,4.33,3.0
100046,Shakshuka,شكشوكة,Breakfast,Middle Eastern,Easy,Balanced,Breakfast,6.0,16.0,22,9,11,2,242,16.9,17.3,15.6,4.7,3.4,8.1,591.0,,35.0,71.0,3.5,0,1,Eggs,49.2,6.98,Low,Low,Balanced Macro,Normal,Medium,3.0,3.0
100047,Meal Prep Chicken Rice,دجاج وأرز للميل بريب,Main Course,International,Easy,Muscle Gain / Meal Prep,Dinner,19.0,22.0,41,9,9,2,473,45.4,47.7,9.6,3.5,3.1,1.7,544.0,82.0,,40.0,1.8,0,0,None,51.5,9.6,High,Moderate,High Protein,Normal,Medium,3.78,9.0
100048,Overnight Oats 5 Ways,شوفان بالليل 5 وصفات,Breakfast,International,Very Easy,Meal Prep / Healthy,Breakfast,11.0,0.0,11,6,6,2,402,13.4,57.0,9.3,2.7,6.4,18.5,169.0,9.0,8.9,262.0,2.3,0,1,Dairy|Gluten,54.1,3.33,High,Moderate,High Carb,Normal,Low,4.67,3.0
100049,Grilled Chicken Breast,صدر دجاج مشوي,Main Course,Mediterranean,Easy,High Protein / Weight Loss,Dinner,9.0,19.0,28,7,7,4,327,39.7,4.1,14.9,6.3,0.5,1.4,438.0,90.0,11.6,23.0,2.0,0,0,None,44.9,12.14,Low,Low,High Protein,Overweight,Low,3.67,
100050,Egg White Omelette,عجة بياض البيض,Breakfast,International,Very Easy,High Protein / Low Cal,Breakfast,6.0,6.0,12,4,7,4,182,23.8,4.3,5.7,2.3,1.1,2.0,317.0,11.0,,69.0,1.7,0,1,Eggs,53.5,,Low,Very Low,High Protein,Normal,Low,,3.0
100051,Tuna Salad Bowl,بول سلطة التونة,Salad,Mediterranean,Very Easy,Weight Loss,Lunch,9.0,0.0,9,4,7,6,167,27.4,7.6,6.5,2.5,2.8,4.9,483.0,41.0,29.4,38.0,2.1,0,0,Seafood,57.1,16.41,Low,Very Low,High Protein,Overweight,Low,5.0,1.0
100052,Protein Pancakes,بانكيك البروتين,Breakfast,American,Very Easy,Muscle Gain,Breakfast,4.0,12.0,16,8,7,4,359,28.8,27.5,7.4,2.9,2.9,5.5,279.0,216.0,2.2,,2.1,0,1,Dairy|Eggs|Gluten,53.0,8.02,Medium,Low,High Protein,Underweight,Low,4.5,2.0
100053,Greek Yogurt Parfait,بارفيه الزبادي اليوناني,Snack,International,Very Easy,Healthy Snack,Snack,5.0,0.0,5,4,6,6,324,23.5,38.9,7.6,3.2,3.2,21.5,87.0,14.0,14.4,272.0,1.3,0,1,Dairy,49.2,7.25,High,Low,Mixed,Normal,Low,5.0,4.0
100054,Chicken Vegetable Stir Fry,دجاج مقلي بالخضار,Main Course,Asian,Easy,Balanced,Dinner,18.0,12.0,30,8,9,2,333,33.0,28.8,13.1,5.5,3.4,6.3,780.0,81.0,38.7,67.0,2.1,0,0,Nuts|Soy,48.1,9.91,Medium,Low,High Protein,Normal,Medium,,15.0
100055,Baked Salmon with Vegetables,سالمون مشوي بالخضار,Main Course,Western,Easy,Heart Health,Dinner,12.0,21.0,33,9,9,1,481,40.3,14.8,20.3,8.2,4.6,4.3,364.0,102.0,40.4,54.0,2.5,0,0,Seafood,51.1,8.38,Low,Moderate,High Protein,Normal,Medium,4.0,3.0
100056,Turkey Lettuce Wraps,لفائف الخس بالديك الرومي,Light Meal,Asian,Easy,Keto / Low Carb,Lunch,11.0,,18,8,8,1,237,24.6,8.2,11.5,4.3,2.3,3.2,,70.0,17.5,31.0,1.7,0,0,Dairy|Nuts|Soy,50.0,10.38,Low,Low,High Protein,Overweight,Low,,2.0
100057,Boiled Eggs with Avocado,بيض مسلوق مع أفوكادو,Breakfast,International,Very Easy,Keto,Breakfast,2.0,,12,4,6,4,284,16.4,9.2,25.0,9.9,6.2,0.8,291.0,415.0,9.7,55.0,1.9,0,1,Eggs,49.6,5.77,Low,Low,Mixed,Overweight,Low,,
100058,Shrimp Stir Fry,روبيان مقلي,Main Course,Asian,medium ,High Protein / Low Cal,Lunch,8.0,8.0,16,6,9,4,284,33.1,17.5,8.4,3.7,3.5,4.1,671.0,219.0,21.4,88.0,3.9,0,0,Nuts|Soy|Seafood,53.5,11.65,Low,Low,High Protein,Normal,Medium,3.57,7.0
100059,Quinoa Buddha Bowl,بودا بول الكينوا,Main Course,International,Medium,Vegan / Balanced,Dinner,16.0,17.0,33,10,9,1,466,18.8,60.2,14.3,5.9,8.0,7.2,311.0,0.0,61.8,132.0,5.1,1,1,None,60.3,4.03,High,Moderate,High Carb,Normal,Medium,4.0,4.0
101928,Lentil Soup,شوربة العدس,Soup,Middle Eastern,Easy,High Fiber / Budget,Lunch,9.0,24.0,33,12,11,6,289,18.6,47.8,3.6,,10.9,5.5,653.0,0.0,17.8,70.0,5.6,1,1,None,62.4,6.44,High,Low,High Carb,Normal,Medium,4.8,5.0
100061,Veggie Omelette,عجة الخضار,Breakfast,International,Very Easy,Balanced,Breakfast,,7.0,11,7,8,4,229,17.5,6.3,16.9,4.6,1.8,2.5,329.0,,19.5,84.0,,0,1,Eggs,50.0,7.64,Low,Low,High Protein,Normal,Low,5.0,1.0
100062,Hummus with Vegetables,حمص مع الخضار,Snack,Middle Eastern,Very Easy,Healthy Snack,Snack,7.0,0.0,7,6,9,2,185,9.3,22.4,10.1,3.6,5.5,2.7,355.0,0.0,25.0,,2.8,1,1,None,58.0,5.03,Medium,Very Low,Mixed,Normal,Medium,,2.0
100063,Spinach Lentil Dal,عدس بالسبانخ,Main Course,Indian,Easy,High Iron / Vegan,Dinner,13.0,,43,10,10,6,320,19.2,53.1,5.5,2.3,,3.3,359.0,0.0,25.4,103.0,6.6,0,1,Dairy|Nuts,66.2,6.0,High,Low,High Carb,Normal,Medium,4.17,6.0
100064,Caprese Salad,سلطة كابريزي,Salad,Italian,Very Easy,Light / Healthy,Lunch,5.0,0.0,5,4,7,4,242,13.0,5.5,17.1,6.9,0.4,4.1,383.0,35.0,21.1,,0.7,1,1,None,42.2,5.37,Low,Low,Mixed,Normal,Low,1.0,1.0
100065,Overnight Oats,شوفان بالليل,Breakfast,International,Very Easy,Sustained Energy,Breakfast,6.0,,6,6,8,4,406,14.9,61.7,8.5,3.2,6.4,15.8,155.0,5.0,7.8,282.0,3.1,0,1,Dairy|Gluten|Nuts,55.5,3.67,High,Moderate,High Carb,Normal,Low,4.0,1.0
100066,Avocado Toast with Egg,توست الأفوكادو مع بيض,Breakfast,International,Very Easy,Balanced,Breakfast,4.0,5.0,9,7,8,4,422,16.4,27.9,20.1,5.4,7.8,1.8,392.0,,,63.0,3.4,0,1,Eggs|Gluten,57.5,3.89,Medium,Moderate,Balanced Macro,Normal,Low,4.0,2.0
100067,Black Bean Tacos,تاكو الفول الأسود,Main Course,Mexican,Easy,Vegan / Budget,Lunch,9.0,10.0,19,8,10,6,376,16.2,59.3,10.8,4.2,13.7,4.5,617.0,0.0,15.0,125.0,4.3,1,1,None,57.3,4.31,High,Low,High Carb,Normal,Medium,4.5,2.0
100068,Mushroom Risotto,ريزوتو الفطر,Main Course,Italian,Medium,Comfort Food,Dinner,,38.0,45,13,10,2,483,14.3,66.1,15.2,6.6,2.9,4.4,611.0,,3.7,85.0,3.1,0,1,Dairy,41.8,2.96,High,Moderate,High Carb,Normal,Medium,3.75,4.0
100069,Chicken Vegetable Soup,شوربة الدجاج بالخضار,Soup,International,Easy,Immunity / Recovery,Lunch,16.0,44.0,60,12,11,1,247,28.5,20.4,6.8,,4.7,5.4,600.0,77.0,32.0,60.0,,0,0,None,57.7,,Medium,Low,High Protein,Normal,Medium,,3.0
100070,Tomato Basil Soup,شوربة الطماطم والريحان,Soup,Italian,Easy,Light / Vegan,Lunch,,21.0,31,6,9,2,188,4.9,27.2,6.8,2.6,3.5,12.4,544.0,0.0,,64.0,2.0,0,1,Dairy,47.5,2.61,Medium,Very Low,High Carb,Normal,Medium,,
100071,Minestrone Soup,شوربة مينستروني,Soup,Italian,Easy,High Fiber / Balanced,Lunch,11.0,28.0,39,10,10,2,298,11.2,39.3,7.3,3.0,9.4,7.0,,5.0,22.3,,4.0,1,1,Gluten,57.7,3.76,Medium,Low,High Carb,Normal,Medium,3.6,5.0
100072,Beef Stir Fry,لحم مقلي,Main Course,Asian,Easy,Muscle Gain,Dinner,19.0,18.0,37,9,10,1,403,39.2,28.5,17.9,6.3,,4.8,786.0,89.0,14.2,51.0,4.3,0,0,Nuts|Soy,45.6,9.73,Medium,Moderate,High Protein,Underweight,Medium,4.0,3.0
100073,Lean Beef Rice Bowl,بول أرز باللحمة,Main Course,Asian Fusion,Easy,Muscle Gain / Bulking,Dinner,8.0,19.0,27,11,10,1,458,37.9,55.4,13.0,3.3,3.0,4.9,816.0,80.0,,57.0,3.8,0,0,Nuts|Soy,47.9,8.28,High,Moderate,Mixed,Underweight,Medium,4.67,3.0
100074,Turkey Meatballs,كرات ديك رومي,Main Course,Italian,Easy,High Protein,Dinner,12.0,22.0,34,7,8,1,375,33.0,19.0,13.0,4.6,1.8,3.4,508.0,88.0,9.1,61.0,2.7,0,0,Eggs|Gluten,47.2,8.8,Medium,Low,High Protein,Normal,Low,4.0,1.0
100075,Whole Wheat Pasta Turkey,مكرونة قمح بالديك الرومي,Main Course,Italian,Easy,Balanced,Dinner,12.0,25.0,37,10,9,1,520,36.0,51.8,9.5,2.7,6.9,7.3,556.0,70.0,16.0,76.0,4.1,0,0,Gluten,58.4,6.92,High,Moderate,Mixed,Normal,Medium,,4.0
100076,Stuffed Bell Peppers,فلفل محشي,Main Course,Mediterranean,Medium,Balanced,Dinner,24.0,25.0,49,10,9,4,383,23.3,45.8,12.1,3.3,6.7,8.0,445.0,,66.2,55.0,3.1,0,0,Dairy,60.1,,High,Low,Mixed,Normal,Medium,3.8,5.0
100077,Chicken Shawarma Bowl,بول شاورما الدجاج,Main Course,Middle Eastern,Easy,High Protein,Dinner,20.0,12.0,32,9,9,4,401,36.9,40.6,14.4,,5.7,4.3,664.0,82.0,16.7,67.0,2.8,0,0,None,54.2,9.2,Medium,Moderate,High Protein,Normal,Medium,4.67,3.0
100078,Salmon Teriyaki,سالمون تيرياكي,Main Course,Japanese,Easy,Omega 3 / Healthy,Dinner,12.0,13.0,25,9,9,4,447,36.3,22.8,16.8,6.5,0.9,11.3,629.0,88.0,5.9,,,0,0,Nuts|Soy|Seafood,35.8,,Medium,Moderate,High Protein,Normal,Medium,4.25,4.0
100079,Chicken Tikka Masala,دجاج تيكا ماسالا,Main Course,Indian,Medium,Balanced,Dinner,21.0,27.0,48,13,11,4,473,32.1,29.7,18.8,4.9,2.5,6.2,636.0,93.0,14.6,85.0,3.3,0,0,Dairy,45.5,6.79,Medium,Moderate,Balanced Macro,Normal,Medium,3.0,2.0
100080,Zucchini Noodles with Pesto,نودلز الكوسا بالبيستو,Main Course,Italian,Easy,Low Carb / Keto,Lunch,10.0,6.0,16,5,9,4,290,9.9,14.4,23.3,8.8,3.3,5.3,369.0,16.0,19.5,107.0,1.8,1,1,Nuts,42.7,3.41,Low,Low,Mixed,Overweight,Medium,4.0,9.0
100081,Energy Balls,كرات الطاقة,Snack,International,Easy,Healthy Snack,Snack,16.0,0.0,16,4,7,2,116,4.1,16.3,5.2,1.4,2.4,7.6,43.0,0.0,0.9,,1.1,0,1,Dairy|Gluten|Nuts,51.2,3.53,Low,Very Low,High Carb,Normal,Low,3.6,5.0
100082,Chocolate Protein Balls,كرات بروتين بالشوكولاتة,Snack,International,Easy,Post Workout,Snack,11.0,0.0,720,5,7,2,101,4.7,12.3,4.2,1.2,1.8,5.3,36.0,0.0,3.1,19.0,0.8,0,1,Dairy|Gluten|Nuts,52.0,4.65,Low,Very Low,Mixed,Normal,Low,4.2,5.0
100083,Apple Peanut Butter,تفاح مع زبدة فول سوداني,Snack,International,Very Easy,Balanced Snack,Snack,2.0,0.0,2,1,3,1,239,6.0,25.9,9.4,3.1,3.4,20.1,103.0,0.0,,20.0,,0,1,Dairy|Nuts,43.7,,Medium,Low,High Carb,Normal,Low,4.5,2.0
